#GENE	DISEASE	TYPE	ID	INH
CTRC	Pancreatitis, chronic, susceptibility to	susceptibility	167800 	AD
CELA2A	Abdominal obesity-metabolic syndrome 4	disease	618620 	AD
SPEN	Radio-Tartaglia syndrome	disease	619312 	AD
CLCNKA	Bartter syndrome, type 4b, digenic	disease	613090 	DR
CLCNKB	Bartter syndrome, type 3	disease	607364 	AR
CLCNKB	Bartter syndrome, type 4b, digenic	disease	613090 	DR
EPHA2	Cataract 6, multiple types	disease	116600 	AD
ATP13A2	Spastic paraplegia 78, autosomal recessive	disease	617225 	AR
ATP13A2	Kufor-Rakeb syndrome	disease	606693 	AR
SDHB	Paragangliomas 4	disease	115310 	AD
SDHB	Mitochondrial complex II deficiency, nuclear type 4	disease	619224 	AR
SDHB	Gastrointestinal stromal tumor	disease	606764 	IC;AD
SDHB	Pheochromocytoma	disease	171300 	AD
SDHB	Paraganglioma and gastric stromal sarcoma	disease	606864 	
PADI3	Uncombable hair syndrome	disease	191480 	AR
PADI6	Preimplantation embryonic lethality 2	disease	617234 	AR
PAX7	Rhabdomyosarcoma 2, alveolar	disease	268220 	SMU
PAX7	Myopathy, congenital, progressive, with scoliosis	disease	618578 	AR
ALDH4A1	Hyperprolinemia, type II	disease	239510 	AR
EMC1	Cerebellar atrophy, visual impairment, and psychomotor retardation	disease	616875 	AR
PLA2G2A	Colorectal cancer, susceptibility to	susceptibility	114500 	SMU;AD
PLA2G5	Fleck retina, familial benign	non-disease	228980 	AR
PINK1	Parkinson disease 6, early onset	disease	605909 	AR
DDOST	Congenital disorder of glycosylation, type Ir	provisional	614507 	AR
ECE1	Hypertension, essential, susceptibility to	susceptibility	145500 	MF
ECE1	Hirschsprung disease, cardiac defects, and autonomic dysfunction	provisional	613870 	AD
ALPL	Odontohypophosphatasia	disease	146300 	AR;AD
ALPL	Hypophosphatasia, infantile	disease	241500 	AR
ALPL	Hypophosphatasia, childhood	disease	241510 	AR
ALPL	Hypophosphatasia, adult	disease	146300 	AR;AD
HSPG2	Dyssegmental dysplasia, Silverman-Handmaker type	disease	224410 	AR
HSPG2	Schwartz-Jampel syndrome, type 1	disease	255800 	AR
CDC42	Takenouchi-Kosaki syndrome	disease	616737 	AD
WNT4	SERKAL syndrome	provisional	611812 	AR
WNT4	Mullerian aplasia and hyperandrogenism	disease	158330 	AD
C1QA	C1q deficiency	disease	613652 	AR
C1QC	C1q deficiency	disease	613652 	AR
C1QB	C1q deficiency	disease	613652 	AR
EPHB2	Bleeding disorder, platelet-type, 22	provisional	618462 	AR
EPHB2	Prostate cancer/brain cancer susceptibility, somatic	susceptibility	603688 	
KDM1A	Cleft palate, psychomotor retardation, and distinctive facial features	disease	616728 	AD
RPL11	Diamond-Blackfan anemia 7	disease	612562 	AD
GALE	Galactose epimerase deficiency	disease	230350 	AR
HMGCL	HMG-CoA lyase deficiency	disease	246450 	AR
FUCA1	Fucosidosis	disease	230000 	AR
GRHL3	van der Woude syndrome 2	disease	606713 	AD
RHD	Hemolytic disease of fetus and newborn, RH-induced	susceptibility	619462 	
RHD	Blood group, RH system	non-disease	111690 	
RHCE	Rh-null disease, amorph type	disease	617970 	
LDLRAP1	Hypercholesterolemia, familial, 4	disease	603813 	AR
SELENON	Myopathy, congenital, with fiber-type disproportion	disease	255310 	AR;AD
SELENON	Muscular dystrophy, rigid spine, 1	disease	602771 	AR
SLC30A2	Zinc deficiency, transient neonatal	disease	608118 	AD
DHDDS	Developmental delay and seizures with or without movement abnormalities	disease	617836 	AD
DHDDS	Congenital disorder of glycosylation, type 1bb	provisional	613861 	AR
DHDDS	Retinitis pigmentosa 59	disease	613861 	AR
ARID1A	Coffin-Siris syndrome 2	disease	614607 	AD
PIGV	Hyperphosphatasia with mental retardation syndrome 1	disease	239300 	AR
NR0B2	Obesity, mild, early-onset	disease	601665 	AR;AD;MF
KDF1	Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type	provisional	617337 	AD
SLC9A1	Lichtenstein-Knorr syndrome	disease	616291 	AR
TMEM222	Neurodevelopmental disorder with motor and speech delay and behavioral abnormalities	disease	619470 	AR
FCN3	Immunodeficiency due to ficolin 3 deficiency	disease	613860 	AR
AHDC1	Xia-Gibbs syndrome	disease	615829 	AD
EPB41	Elliptocytosis-1	disease	611804 	AR;AD
MECR	Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities	disease	617282 	AR
SDC3	Obesity, association with	susceptibility	601665 	AR;AD;MF
PUM1	Spinocerebellar ataxia 47	disease	617931 	AD
CCDC28B	Bardet-Biedl syndrome 1, modifier of	susceptibility	209900 	AR;DR
LCK	Immunodeficiency 22	provisional	615758 	AR
YARS1	Infantile-onset multisystem neurologic, endocrine, and pancreatic disease 2	disease	619418 	AR
YARS1	Charcot-Marie-Tooth disease, dominant intermediate C	disease	608323 	AD
HPCA	Dystonia 2, torsion, autosomal recessive	disease	224500 	AR
AK2	Reticular dysgenesis	disease	267500 	AR
GJB4	Erythrokeratodermia variabilis et progressiva 2	disease	617524 	AD
GJB3	Deafness, digenic, GJB2/GJB3	disease	220290 	AR;DD
GJB3	Deafness	disease	autosomal recessive 	
GJB3	Deafness, autosomal dominant 2B	disease	612644 	AD
GJB3	Erythrokeratodermia variabilis et progressiva 1	disease	133200 	AR;AD
GJB3	Deafness, autosomal dominant	disease	with peripheral neuropathy 	
NCDN	Neurodevelopmental disorder with infantile epileptic spasms	disease	619373 	AD
ADPRS	Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures	disease	618170 	AR
COL8A2	Corneal dystrophy, posterior polymorphous 2	disease	609140 	AD
COL8A2	Corneal dystrophy, Fuchs endothelial, 1	disease	136800 	AD
CSF3R	Neutropenia, severe congenital, 7, autosomal recessive	disease	617014 	AR
SNIP1	Neurodevelopmental disorder with hypotonia, craniofacial abnormalities, and seizures	disease	614501 	AR
RSPO1	Palmoplantar hyperkeratosis and true hermaphroditism	disease	610644 	AR
RSPO1	Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal	disease	610644 	AR
YRDC	Galloway-Mowat syndrome 10	disease	619609 	AR
MACF1	Lissencephaly 9 with complex brainstem malformation	disease	618325 	AD
TRIT1	Combined oxidative phosphorylation deficiency 35	disease	617873 	AR
MFSD2A	Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain abnormalities	disease	616486 	AR
PPT1	Ceroid lipofuscinosis, neuronal, 1	disease	256730 	AR
ZMPSTE24	Mandibuloacral dysplasia with type B lipodystrophy	disease	608612 	AR
ZMPSTE24	Restrictive dermopathy, lethal	disease	275210 	AR
COL9A2	Epiphyseal dysplasia, multiple, 2	disease	600204 	AD
COL9A2	Stickler syndrome, type V	provisional	614284 	AR
KCNQ4	Deafness, autosomal dominant 2A	disease	600101 	AD
CTPS1	Immunodeficiency 24	disease	615897 	AR
PPCS	Cardiomyopathy, dilated, 2C	disease	618189 	AR
CLDN19	Hypomagnesemia 5, renal, with ocular involvement	disease	248190 	AR
P3H1	Osteogenesis imperfecta, type VIII	disease	610915 	AR
SVBP	Neurodevelopmental disorder with ataxia, hypotonia, and microcephaly	disease	618569 	AR
ERMAP	Blood group, Scianna system	non-disease	111750 	
ERMAP	Blood group, Radin	non-disease	111620 	
SLC2A1	Dystonia 9	disease	601042 	AD
SLC2A1	GLUT1 deficiency syndrome 1, infantile onset, severe	disease	606777 	AR;AD
SLC2A1	Stomatin-deficient cryohydrocytosis with neurologic defects	disease	608885 	AD
SLC2A1	Epilepsy, idiopathic generalized, susceptibility to, 12	susceptibility	614847 	AD
SLC2A1	GLUT1 deficiency syndrome 2, childhood onset	disease	612126 	AD
TIE1	Lymphatic malformation 11	disease	619401 	AD
MPL	Myelofibrosis with myeloid metaplasia, somatic	disease	254450 	
MPL	Thrombocythemia 2	disease	601977 	SMU;AD
MPL	Thrombocytopenia, congenital amegakaryocytic	disease	604498 	AR
ELOVL1	Ichthyotic keratoderma, spasticity, hypomyelination, and dysmorphic facies	disease	618527 	AD
SZT2	Developmental and epileptic encephalopathy 18	disease	615476 	AR
PTPRF	Breasts and/or nipples, aplasia or hypoplasia of, 2	provisional	616001 	AR
ST3GAL3	Developmental and epileptic encephalopathy 15	disease	615006 	AR
ST3GAL3	Intellectual developmental disorder, autosomal recessive 12	disease	611090 	AR
SLC6A9	Glycine encephalopathy with normal serum glycine	disease	617301 	AR
RNF220	Leukodystrophy, hypomyelinating, 23, with ataxia, deafness, liver dysfunction, and dilated cardiomyopathy	disease	619688 	AR
PTCH2	Medulloblastoma, somatic	disease	155255 	
PTCH2	Basal cell nevus syndrome	disease	109400 	AD
PTCH2	Basal cell carcinoma, somatic	disease	605462 	
EIF2B3	Leukoencephalopathy with vanishing white matter	disease	603896 	AR
UROD	Porphyria, hepatoerythropoietic	disease	176100 	AR;AD
UROD	Porphyria cutanea tarda	disease	176100 	AR;AD
HPDL	Neurodevelopmental disorder with progressive spasticity and brain white matter abnormalities	disease	619026 	AR
HPDL	Spastic paraplegia 83, autosomal recessive	disease	619027 	AR
MUTYH	Adenomas, multiple colorectal	disease	608456 	AR
MUTYH	Gastric cancer, somatic	disease	613659 	
TOE1	Pontocerebellar hypoplasia, type 7	disease	614969 	AR
MMACHC	Methylmalonic aciduria and homocystinuria, cblC type	disease	277400 	AR
PRDX1	Methylmalonic aciduria and homocystinuria, cblC type, digenic	disease	277400 	AR
POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 3	disease	613151 	AR
POMGNT1	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 3	disease	613157 	AR
POMGNT1	Retinitis pigmentosa 76	disease	617123 	AR
POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3	disease	253280 	AR
RAD54L	Breast cancer, invasive ductal	susceptibility	114480 	SMU;AD
RAD54L	Adenocarcinoma, colonic	disease	somatic 	
RAD54L	Lymphoma, non-Hodgkin, somatic	disease	605027 	
FAAH	Drug addiction, susceptibility to	susceptibility	606581 	
TAL1	Leukemia, T-cell acute lymphocytic, somatic	disease	613065 	
STIL	Microcephaly 7, primary, autosomal recessive	disease	612703 	AR
FOXE3	Anterior segment dysgenesis 2, multiple subtypes	disease	610256 	AR
FOXE3	Aortic aneurysm, familial thoracic 11, susceptibility to	susceptibility	617349 	AD
FOXE3	Cataract 34, multiple types	disease	612968 	
ORC1	Meier-Gorlin syndrome 1	disease	224690 	AR
COA7	Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3	disease	618387 	AR
SCP2	Leukoencephalopathy with dystonia and motor neuropathy	provisional	613724 	AR
CPT2	Encephalopathy, acute, infection-induced, 4, susceptibility to	susceptibility	614212 	AR;AD
CPT2	CPT II deficiency, infantile	disease	600649 	AR
CPT2	CPT II deficiency, lethal neonatal	disease	608836 	AR
CPT2	CPT II deficiency, myopathic, stress-induced	disease	255110 	AR;AD
LRP8	Myocardial infarction, susceptibility to	susceptibility	608446 	
PARS2	Developmental and epileptic encephalopathy 75	disease	618437 	AR
DHCR24	Desmosterolosis	disease	602398 	AR
BSND	Sensorineural deafness with mild renal dysfunction	disease	602522 	AR
BSND	Bartter syndrome, type 4a	disease	602522 	AR
PCSK9	Low density lipoprotein cholesterol level QTL 1	susceptibility	603776 	AD
PCSK9	Hypercholesterolemia, familial, 3	disease	603776 	AD
C8A	C8 deficiency, type I	disease	613790 	AR
C8B	C8 deficiency, type II	disease	613789 	AR
DAB1	Spinocerebellar ataxia 37	disease	615945 	AD
TACSTD2	Corneal dystrophy, gelatinous drop-like	disease	204870 	AR
MYSM1	Bone marrow failure syndrome 4	disease	618116 	AR
NFIA	Brain malformations with or without urinary tract defects	disease	613735 	AD
DOCK7	Developmental and epileptic encephalopathy 23	disease	615859 	AR
ANGPTL3	Hypobetalipoproteinemia, familial, 2	disease	605019 	AR
FOXD3	Autoimmune disease, susceptibility to, 1	susceptibility	607836 	AD
ALG6	Congenital disorder of glycosylation, type Ic	disease	603147 	AR
PGM1	Congenital disorder of glycosylation, type It	disease	614921 	AR
ROR1	Deafness, autosomal recessive 108	provisional	617654 	AR
JAK1	Autoinflammation, immune dysregulation, and eosinophilia	disease	618999 	AD
DNAJC6	Parkinson disease 19a, juvenile-onset	disease	615528 	AR
DNAJC6	Parkinson disease 19b, early-onset	disease	615528 	AR
LEPR	Obesity, morbid, due to leptin receptor deficiency	disease	614963 	AR
SLC35D1	Schneckenbecken dysplasia	disease	269250 	AR
IL23R	Inflammatory bowel disease 17, protection against	susceptibility	612261 	
IL23R	Psoriasis, protection against	susceptibility	605606 	
WLS	Zaki syndrome	disease	619648 	AR
RPE65	Retinitis pigmentosa 20	disease	613794 	AR
RPE65	Retinitis pigmentosa 87 with choroidal involvement	disease	618697 	AD
RPE65	Leber congenital amaurosis 2	disease	204100 	AR
CTH	Cystathioninuria	disease	219500 	AR
TNNI3K	Cardiac conduction disease with or without dilated cardiomyopathy	disease	616117 	AD
ACADM	Acyl-CoA dehydrogenase, medium chain, deficiency of	disease	201450 	AR
PIGK	Neurodevelopmental disorder with hypotonia and cerebellar atrophy, with or without seizures	disease	618879 	AR
NEXN	Cardiomyopathy, dilated, 1CC	disease	613122 	AD
NEXN	Cardiomyopathy, hypertrophic, 20	disease	613876 	AD
PRKACB	Cardioacrofacial dysplasia 2	disease	619143 	SMO;AD
BCL10	Lymphoma, follicular, somatic	susceptibility	605027 	
BCL10	Immunodeficiency 37	provisional	616098 	AR
BCL10	Sezary syndrome	susceptibility	somatic} 	
BCL10	Male germ cell tumor, somatic	susceptibility	273300 	
BCL10	Lymphoma, MALT, somatic	disease	137245 	
BCL10	Mesothelioma, somatic	susceptibility	156240 	
HS2ST1	Neurofacioskeletal syndrome with or without renal agenesis	disease	619194 	AR
ZNF644	Myopia 21, autosomal dominant	disease	614167 	AD
HFM1	Premature ovarian failure 9	disease	615724 	AR
UOX	Premature ovarian failure 9	disease	615724 	AR
BRDT	Spermatogenic failure 21	provisional	617644 	AR
GLMN	Glomuvenous malformations	disease	138000 	AD
GFI1	Neutropenia, nonimmune chronic idiopathic, of adults	provisional	607847 	AD
GFI1	Neutropenia, severe congenital 2, autosomal dominant	disease	613107 	AD
RPL5	Diamond-Blackfan anemia 6	disease	612561 	AD
GCLM	Myocardial infarction, susceptibility to	susceptibility	608446 	
ABCA4	Retinal dystrophy, early-onset severe	disease	248200 	AR
ABCA4	Retinitis pigmentosa 19	disease	601718 	AR
ABCA4	Macular degeneration, age-related, 2	susceptibility	153800 	AD
ABCA4	Cone-rod dystrophy 3	disease	604116 	
ABCA4	Fundus flavimaculatus	disease	248200 	AR
ABCA4	Stargardt disease 1	disease	248200 	AR
ABCD3	Bile acid synthesis defect, congenital, 5	provisional	616278 	AR
ALG14	Intellectual developmental disorder with epilepsy, behavioral abnormalities, and coarse facies	disease	619031 	AR
ALG14	Myopathy, epilepsy, and progressive cerebral atrophy	disease	619036 	AR
ALG14	Myasthenic syndrome, congenital, 15, without tubular aggregates	provisional	616227 	AR
DPYD	Dihydropyrimidine dehydrogenase deficiency	disease	274270 	AR
DPYD	5-fluorouracil toxicity	disease	274270 	AR
AGL	Glycogen storage disease IIIa	disease	232400 	AR
AGL	Glycogen storage disease IIIb	disease	232400 	AR
SLC35A3	Arthrogryposis, impaired intellectual development, and seizures	disease	615553 	AR
SASS6	Microcephaly 14, primary, autosomal recessive	provisional	616402 	AR
DBT	Maple syrup urine disease, type II	disease	248600 	AR
CDC14A	Deafness, autosomal recessive 32, with or without immotile sperm	disease	608653 	AR
GPR88	Chorea, childhood-onset, with psychomotor retardation	provisional	616939 	AR
COL11A1	Fibrochondrogenesis 1	disease	228520 	AR
COL11A1	Stickler syndrome, type II	disease	604841 	AD
COL11A1	Marshall syndrome	disease	154780 	AD
COL11A1	Deafness, autosomal dominant 37	disease	618533 	AD
COL11A1	Lumbar disc herniation, susceptibility to	susceptibility	603932 	
RNPC3	Pituitary hormone deficiency, combined or isolated, 7	disease	618160 	AR
SLC25A24	Fontaine progeroid syndrome	disease	612289 	AD
GPSM2	Chudley-McCullough syndrome	disease	604213 	AR
CLCC1	Retinitis pigmentosa 32	disease	609913 	AR
TAF13	Mental retardation, autosomal recessive 60	disease	617432 	AR
SARS1	Neurodevelopmental disorder with microcephaly, ataxia, and seizures	provisional	617709 	AR
SORT1	Low density lipoprotein cholesterol level QTL6	non-disease	613589 	AD
GNAI3	Auriculocondylar syndrome 1	disease	602483 	AD
GNAT2	Achromatopsia 4	disease	613856 	
AMPD2	Spastic paraplegia 63	provisional	615686 	AR
AMPD2	Pontocerebellar hypoplasia, type 9	disease	615809 	AR
EPS8L3	Hypotrichosis 5	provisional	612841 	AD
ALX3	Frontonasal dysplasia 1	disease	136760 	AR
SLC6A17	Mental retardation, autosomal recessive 48	disease	616269 	AR
RBM15	Megakaryoblastic leukemia, acute	disease	606077 	
KCNA2	Developmental and epileptic encephalopathy 32	disease	616366 	AD
LRIF1	Facioscapulohumeral muscular dystrophy 3, digenic	provisional	619477 	DR
DRAM2	Cone-rod dystrophy 21	disease	616502 	AR
KCND3	Spinocerebellar ataxia 19	disease	607346 	AD
KCND3	Brugada syndrome 9	disease	616399 	AD
WNT2B	Diarrhea 9	disease	618168 	AR
SLC16A1	Hyperinsulinemic hypoglycemia, familial, 7	disease	610021 	AD
SLC16A1	Erythrocyte lactate transporter defect	disease	245340 	AD
SLC16A1	Monocarboxylate transporter 1 deficiency	disease	616095 	AR;AD
LRIG2	Urofacial syndrome 2	disease	615112 	AR
PTPN22	Rheumatoid arthritis, susceptibility to	susceptibility	180300 	
PTPN22	Systemic lupus erythematosus susceptibility to	susceptibility	152700 	AD
PTPN22	Diabetes, type 1, susceptibility to	susceptibility	222100 	AR
AP4B1	Spastic paraplegia 47, autosomal recessive	disease	614066 	AR
AMPD1	Myopathy due to myoadenylate deaminase deficiency	disease	615511 	AR
NRAS	Noonan syndrome 6	disease	613224 	AD
NRAS	RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic	provisional	614470 	
NRAS	Melanocytic nevus syndrome, congenital, somatic	disease	137550 	
NRAS	Epidermal nevus, somatic	disease	162900 	
NRAS	Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic	disease	163200 	
NRAS	Thyroid carcinoma, follicular, somatic	disease	188470 	
NRAS	Neurocutaneous melanosis, somatic	disease	249400 	
NRAS	Colorectal cancer, somatic	disease	114500 	
TSHB	Hypothyroidism, congenital, nongoitrous 4	disease	275100 	AR
NGF	Neuropathy, hereditary sensory and autonomic, type V	disease	608654 	AR
VANGL1	Neural tube defects, susceptibility to	susceptibility	182940 	AD
VANGL1	Caudal regression syndrome	disease	600145 	AD
CASQ2	Ventricular tachycardia, catecholaminergic polymorphic, 2	disease	611938 	AR
ATP1A1	Hypomagnesemia, seizures, and mental retardation 2	disease	618314 	AD
ATP1A1	Charcot-Marie-Tooth disease, axonal, type 2DD	disease	618036 	AD
IGSF3	Lacrimal duct defect	provisional	149700 	AR
GDAP2	Spinocerebellar ataxia, autosomal recessive 27	disease	618369 	AR
SPAG17	Spermatogenic failure 55	provisional	619380 	AR
TBX15	Cousin syndrome	disease	260660 	AR
WARS2	Neurodevelopmental disorder, mitochondrial, with abnormal movements and lactic acidosis, with or without seizures	disease	617710 	AR
HSD3B2	Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency	disease	201810 	AR
PHGDH	Neu-Laxova syndrome 1	disease	256520 	AR
PHGDH	Phosphoglycerate dehydrogenase deficiency	disease	601815 	AR
HMGCS2	HMG-CoA synthase-2 deficiency	disease	605911 	AR
NOTCH2	Alagille syndrome 2	disease	610205 	AD
NOTCH2	Hajdu-Cheney syndrome	disease	102500 	AD
PEX11B	Peroxisome biogenesis disorder 14B	disease	614920 	AR
RBM8A	Thrombocytopenia-absent radius syndrome	disease	274000 	AR
POLR3GL	Short stature, oligodontia, dysmorphic facies, and motor delay	disease	619234 	AR
HJV	Hemochromatosis, type 2A	disease	602390 	AR
GJA5	Atrial fibrillation, familial, 11	disease	614049 	AD
GJA5	Atrial standstill, digenic (GJA5/SCN5A)	disease	108770 	AD
GJA8	Cataract 1, multiple types	disease	116200 	AD
NOTCH2NLC	Tremor, hereditary essential, 6	disease	618866 	AD
NOTCH2NLC	Oculopharyngodistal myopathy 3	disease	619473 	AD
NOTCH2NLC	Neuronal intranuclear inclusion disease	disease	603472 	AD
FCGR1A	IgG receptor I, phagocytic	non-disease	familial deficiency of] 	
SF3B4	Acrofacial dysostosis 1, Nager type	disease	154400 	AD
VPS45	Neutropenia, severe congenital, 5, autosomal recessive	disease	615285 	AR
PRPF3	Retinitis pigmentosa 18	disease	601414 	AD
TARS2	Combined oxidative phosphorylation deficiency 21	provisional	615918 	AR
ECM1	Urbach-Wiethe disease	disease	247100 	AR
ADAMTSL4	Ectopia lentis et pupillae	disease	225200 	AR
ADAMTSL4	Ectopia lentis, isolated, autosomal recessive	disease	225100 	AR
CTSK	Pycnodysostosis	disease	265800 	AR
PRUNE1	Neurodevelopmental disorder with microcephaly, hypotonia, and variable brain anomalies	disease	617481 	AR
ZNF687	Paget disease of bone 6	disease	616833 	AD
RFX5	Bare lymphocyte syndrome, type II, complementation group C	disease	209920 	AR
RFX5	Bare lymphocyte syndrome, type II, complementation group E	disease	209920 	AR
SELENBP1	Extraoral halitosis due to MTO deficiency	disease	618148 	AR
PSMB4	Proteasome-associated autoinflammatory syndrome 3 and digenic forms	provisional	617591 	AR
POGZ	White-Sutton syndrome	disease	616364 	AD
RORC	Immunodeficiency 42	disease	616622 	AR
TCHH	Uncombable hair syndrome 3	provisional	617252 	AR
FLG	Ichthyosis vulgaris	disease	146700 	AR;AD
FLG	Dermatitis, atopic, susceptibility to, 2	susceptibility	605803 	
FLG2	Peeling skin syndrome 6	disease	618084 	AR
LORICRIN	Vohwinkel syndrome with ichthyosis	disease	604117 	AD
GATAD2B	GAND syndrome	disease	615074 	AD
RPS27	Diamond-Blackfan anemia 17	provisional	617409 	AD
TPM3	CAP myopathy 1	disease	609284 	AR;AD
TPM3	Myopathy, congenital, with fiber-type disproportion	disease	255310 	AR;AD
TPM3	Nemaline myopathy 1, autosomal dominant or recessive	disease	609284 	AR;AD
HAX1	Neutropenia, severe congenital 3, autosomal recessive	disease	610738 	AR
IL6R	Interleukin 6, serum level of, QTL	non-disease	614752 	
IL6R	Hyper-IgE recurrent infection syndrome 5, autosomal recessive	disease	618944 	AR
IL6R	Interleukin-6 receptor, soluble, serum level of, QTL	non-disease	614689 	
CHRNB2	Epilepsy, nocturnal frontal lobe, 3	disease	605375 	
ADAR	Dyschromatosis symmetrica hereditaria	disease	127400 	AD
ADAR	Aicardi-Goutieres syndrome 6	disease	615010 	AR
KCNN3	Zimmermann-Laband syndrome 3	disease	618658 	AD
